4294A REV1.11
"DATE: Jan 25 2018"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 800"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LOG"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	1.324238e+00	0.000000e+00
1.00868300000e+03	1.334925e+00	0.000000e+00
1.01744100000e+03	1.346243e+00	0.000000e+00
1.02627600000e+03	1.356784e+00	0.000000e+00
1.03518700000e+03	1.367454e+00	0.000000e+00
1.04417500000e+03	1.379208e+00	0.000000e+00
1.05324200000e+03	1.390440e+00	0.000000e+00
1.06238700000e+03	1.402029e+00	0.000000e+00
1.07161200000e+03	1.413184e+00	0.000000e+00
1.08091700000e+03	1.425062e+00	0.000000e+00
1.09030200000e+03	1.436397e+00	0.000000e+00
1.09976900000e+03	1.448478e+00	0.000000e+00
1.10931900000e+03	1.460703e+00	0.000000e+00
1.11895100000e+03	1.472369e+00	0.000000e+00
1.12866700000e+03	1.484661e+00	0.000000e+00
1.13846700000e+03	1.496906e+00	0.000000e+00
1.14835200000e+03	1.509195e+00	0.000000e+00
1.15832300000e+03	1.521720e+00	0.000000e+00
1.16838100000e+03	1.534254e+00	0.000000e+00
1.17852600000e+03	1.546975e+00	0.000000e+00
1.18875900000e+03	1.560268e+00	0.000000e+00
1.19908100000e+03	1.573102e+00	0.000000e+00
1.20949300000e+03	1.586195e+00	0.000000e+00
1.21999500000e+03	1.599323e+00	0.000000e+00
1.23058800000e+03	1.612428e+00	0.000000e+00
1.24127300000e+03	1.625927e+00	0.000000e+00
1.25205100000e+03	1.639652e+00	0.000000e+00
1.26292300000e+03	1.653260e+00	0.000000e+00
1.27388800000e+03	1.666735e+00	0.000000e+00
1.28495000000e+03	1.680823e+00	0.000000e+00
1.29610700000e+03	1.694412e+00	0.000000e+00
1.30736100000e+03	1.708873e+00	0.000000e+00
1.31871300000e+03	1.723117e+00	0.000000e+00
1.33016300000e+03	1.737841e+00	0.000000e+00
1.34171300000e+03	1.752383e+00	0.000000e+00
1.35336300000e+03	1.767139e+00	0.000000e+00
1.36511400000e+03	1.781744e+00	0.000000e+00
1.37696700000e+03	1.796676e+00	0.000000e+00
1.38892400000e+03	1.811531e+00	0.000000e+00
1.40098400000e+03	1.826603e+00	0.000000e+00
1.41314800000e+03	1.842273e+00	0.000000e+00
1.42541900000e+03	1.857683e+00	0.000000e+00
1.43779600000e+03	1.873238e+00	0.000000e+00
1.45028000000e+03	1.889370e+00	0.000000e+00
1.46287300000e+03	1.904798e+00	0.000000e+00
1.47557500000e+03	1.921207e+00	0.000000e+00
1.48838700000e+03	1.937557e+00	0.000000e+00
1.50131100000e+03	1.953409e+00	0.000000e+00
1.51434700000e+03	1.969812e+00	0.000000e+00
1.52749600000e+03	1.986696e+00	0.000000e+00
1.54075900000e+03	2.003175e+00	0.000000e+00
1.55413700000e+03	2.020399e+00	0.000000e+00
1.56763200000e+03	2.037613e+00	0.000000e+00
1.58124300000e+03	2.054335e+00	0.000000e+00
1.59497300000e+03	2.071975e+00	0.000000e+00
1.60882300000e+03	2.089632e+00	0.000000e+00
1.62279200000e+03	2.107383e+00	0.000000e+00
1.63688300000e+03	2.125176e+00	0.000000e+00
1.65109600000e+03	2.142956e+00	0.000000e+00
1.66543200000e+03	2.160877e+00	0.000000e+00
1.67989300000e+03	2.179460e+00	0.000000e+00
1.69447900000e+03	2.198028e+00	0.000000e+00
1.70919300000e+03	2.216600e+00	0.000000e+00
1.72403300000e+03	2.235497e+00	0.000000e+00
1.73900300000e+03	2.254668e+00	0.000000e+00
1.75410300000e+03	2.273658e+00	0.000000e+00
1.76933400000e+03	2.292750e+00	0.000000e+00
1.78469700000e+03	2.312215e+00	0.000000e+00
1.80019300000e+03	2.331835e+00	0.000000e+00
1.81582400000e+03	2.351687e+00	0.000000e+00
1.83159100000e+03	2.371486e+00	0.000000e+00
1.84749500000e+03	2.392095e+00	0.000000e+00
1.86353700000e+03	2.412740e+00	0.000000e+00
1.87971800000e+03	2.432707e+00	0.000000e+00
1.89603900000e+03	2.453732e+00	0.000000e+00
1.91250200000e+03	2.474479e+00	0.000000e+00
1.92910900000e+03	2.495625e+00	0.000000e+00
1.94585900000e+03	2.516804e+00	0.000000e+00
1.96275500000e+03	2.538187e+00	0.000000e+00
1.97979800000e+03	2.559871e+00	0.000000e+00
1.99698800000e+03	2.581904e+00	0.000000e+00
2.01432800000e+03	2.603917e+00	0.000000e+00
2.03181800000e+03	2.625855e+00	0.000000e+00
2.04946000000e+03	2.648456e+00	0.000000e+00
2.06725600000e+03	2.671698e+00	0.000000e+00
2.08520600000e+03	2.693959e+00	0.000000e+00
2.10331200000e+03	2.716805e+00	0.000000e+00
2.12157500000e+03	2.740379e+00	0.000000e+00
2.13999600000e+03	2.764075e+00	0.000000e+00
2.15857800000e+03	2.787633e+00	0.000000e+00
